@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "EL2L2"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099895
@ CHARGE           %le                   1
@ ENERGY           %le                1.54
@ PC               %le         1.539999915
@ GAMMA            %le         3013.704823
@ KBUNCH           %le                   1
@ BCURRENT         %le     8.046056069e-13
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   1
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         59.69637972
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le         1.647738076
@ Q2               %le         3.039548363
@ DQ1              %le        -1.526049108
@ DQ2              %le        -4.420797339
@ DXMAX            %le        0.3910925051
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         82.94394236
@ BETYMAX          %le         93.00489466
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le        0.1832248078
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le        -0.464899108
@ SYNCH_2          %le        0.3859173393
@ SYNCH_3          %le       0.05688790718
@ SYNCH_4          %le     -0.001538012794
@ SYNCH_5          %le       0.01761008199
@ SYNCH_6          %le         200.2381634
@ SYNCH_8          %le        0.5605251572
@ DQMIN            %le                   0
@ DQMIN_PHASE      %le                   0
@ TITLE            %01s "s"
@ ORIGIN           %17s "5.08.01 Darwin 64"
@ DATE             %08s "02/03/23"
@ TIME             %08s "13.56.59"
* NAME               KEYWORD                             S                  L               BETX               ALFX                 DX               BETY               ALFY                 DY              ANGLE                K1L                DDX                DPY                DPX 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DEL2L2_BC_D4"      "DRIFT"                    16.57772995               0.55       0.7682497694       0.3531514262       0.3380915476        40.35835346       -10.31776811                  0                  0                  0     -0.09620394295                  0     -0.09582023096
 "QEL2L2_BC_QF2"     "QUADRUPOLE"               16.87772995                0.3       0.8111961956      -0.5044584401       0.3381445891        39.50486954        12.99692621                  0                  0             -0.576     -0.07558678742                  0      0.09617891864
 "DEL2L2_BC_D5"      "DRIFT"                    17.42772995               0.55        1.833903082       -1.355008626       0.3910429944        26.50937708         10.6312419                  0                  0                  0      -0.1027150647                  0      0.09617891864
 "BEL2L2_BC_B3"      "RBEND"                    18.91066915        1.482939195        9.168097483       -3.630158278        0.371418761        3.939034131        4.225110944                  0      -0.2181661565                  0     -0.01229889718                  0      -0.1228567168
 "DEL2L2_BC_D6"      "DRIFT"                    19.37159493       0.4609257814        12.84311289       -4.342959203       0.3147909328        1.060871712        2.019196783                  0                  0                  0      0.06653992354                  0      -0.1228567168
 "QEL2L2_BC_QF3"     "QUADRUPOLE"               19.67159493                0.3        14.18486901      0.01901535174       0.2630850334       0.3214613907       0.5263076249                  0                  0               0.33       0.1284683173                  0      -0.2190007513
 "DEL2L2_BC_D7"      "DRIFT"                    20.13252071       0.4609257814        14.18232251     -0.01349058429       0.1621419409       0.6802480025       -1.304711928                  0                  0                  0       0.2370377805                  0      -0.2190007513
 "BEL2L2_BC_B4"      "RBEND"                    21.61545991        1.482939195        14.37466037      -0.1172444746     0.001070278861        13.16121018       -6.910563241                  0       0.2181661565                  0       0.4166308654                  0    3.488408091e-05
 "DEL2L2_BC_D8"      "DRIFT"                    22.11545991                0.5        14.50953563      -0.1525060474     0.001087720901        20.99790186       -8.762820125                  0                  0                  0       0.4235731783                  0    3.488408091e-05
 "DEL2L2_BC_D02"     "DRIFT"                    22.51545991                0.4        14.64282417      -0.1807153057     0.001101674534        28.60088017       -10.24462563                  0                  0                  0       0.4291270286                  0    3.488408091e-05
