@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "BC_LINE"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099895
@ CHARGE           %le                   1
@ ENERGY           %le                1.54
@ PC               %le         1.539999915
@ GAMMA            %le         3013.704823
@ KBUNCH           %le                   1
@ BCURRENT         %le     1.735138389e-12
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   1
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         27.68196598
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le        0.5510471902
@ Q2               %le        0.6116114307
@ DQ1              %le       -0.9931447627
@ DQ2              %le       -0.1597696649
@ DXMAX            %le        0.2831689073
@ DYMAX            %le               0.001
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         20.67739429
@ BETYMAX          %le           22.218434
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le        0.1563647607
@ DYRMS            %le     0.0008114219688
@ DELTAP           %le                   0
@ SYNCH_1          %le       -0.2422654428
@ SYNCH_2          %le        0.6598013313
@ SYNCH_3          %le        0.2187984072
@ SYNCH_4          %le     -0.001515756785
@ SYNCH_5          %le       0.02611452962
@ SYNCH_6          %le          4.26000128
@ SYNCH_8          %le        0.0156144409
@ DQMIN            %le                   0
@ DQMIN_PHASE      %le                   0
@ TITLE            %01s "s"
@ ORIGIN           %17s "5.08.01 Darwin 64"
@ DATE             %08s "20/02/23"
@ TIME             %08s "11.04.31"
* NAME               KEYWORD                             S                  L               BETX               ALFX                 DX               BETY               ALFY                 DY              ANGLE                K1L                DDX 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "QPTL_BC_QF3"       "QUADRUPOLE"               13.07049149                0.3        20.67739429       0.6000448541       0.1206112268         15.2261074       0.4494804724    0.0006763245422                  0             0.1068      -0.1169698954
 "DPTL_BC_D7"        "DRIFT"                    13.52674879       0.4562572943        20.14353702       0.5700345699      0.04519021649        14.83238406       0.4134610112    0.0006311837032                  0                  0     -0.04043525474
 "BPTL_BC_B4"        "RBEND"                    14.02732199       0.5005732038         19.5917912       0.5372600649     0.004226349472        14.03804458        1.151535897     0.000572962275       0.1658062789                  0     0.000841629439
 "DPTL_BC_D8"        "DRIFT"                    14.42732199                0.4        19.17250714       0.5109500993     0.004579754457        13.14332707        1.085257865    0.0005201305368                  0                  0     0.001010514876
 "BPTL_BC_B1"        "RBEND"                     14.9278952       0.5005732038        18.67964286       0.4781755943      0.04642409951        11.75364513        1.652674712    0.0004468490887       0.1658062789                  0     -0.03982725051
 "DPTL_BC_D2"        "DRIFT"                    15.38415249       0.4562572943        18.25699307       0.4481653101       0.1226513278         10.3116416        1.507830436    0.0003744438663                  0                  0      -0.1159877486
 "QPTL_BC_QF1"       "QUADRUPOLE"               15.68415249                0.3        17.42092429        2.308902804       0.1705456872         9.75030141       0.3832446954    0.0003325957031                  0             0.1068      -0.1617237414
 "DPTL_BC_D3"        "DRIFT"                    16.14040978       0.4562572943        15.38966924        2.143091878       0.2396102881        9.425071058       0.3295775578    0.0002773710438                  0                  0      -0.2239180904
 "BPTL_BC_B2"        "RBEND"                    16.64098299       0.5005732038        13.34416865        1.962008252       0.2736322625        8.871217609       0.7616170206    0.0002129609943      -0.1658062789                  0      -0.2528745918
 "DPTL_BC_D4"        "DRIFT"                    17.39098299               0.75        10.60557744        1.689446703        0.262520903        7.828979455       0.6280338512    0.0001120605075                  0                  0      -0.2297492039
