@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "EL2L2"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le       0.00051099895
@ CHARGE           %le                  -1
@ ENERGY           %le                1.54
@ PC               %le         1.539999915
@ GAMMA            %le         3013.704823
@ KBUNCH           %le                   1
@ BCURRENT         %le     9.288727528e-14
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   1
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         517.1003422
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le          26.3945532
@ Q2               %le         15.98837779
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le        0.7947174738
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         39.25812922
@ BETYMAX          %le         281.1216975
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le        0.1514116505
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ SYNCH_6          %le                   0
@ SYNCH_8          %le                   0
@ DQMIN            %le                   0
@ DQMIN_PHASE      %le                   0
@ TITLE            %01s "s"
@ ORIGIN           %17s "5.08.01 Darwin 64"
@ DATE             %08s "05/02/23"
@ TIME             %08s "20.07.14"
* NAME               KEYWORD                             S                  L               BETX               ALFX                 DX               BETY               ALFY                 DY              ANGLE                K1L 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DEL2L2_A1_D02"     "DRIFT"                       32.61696            0.35696        6.633836716        6.590806857                  0        41.29529463      -0.4515633971                  0                  0                  0
 "BEL2L2_A1_B01"     "RBEND"                    34.12528369        1.508323695        1.938401541       -3.461930273       0.1312922897        41.45152644       0.3495652628                  0       0.1745329252                  0
 "DEL2L2_A1_D03"     "DRIFT"                    35.30140869           1.176125        19.34797404       -11.34055458       0.3370875098        40.66671011       0.3177246351                  0                  0                  0
 "QEL2L2_A1_QF02"    "QUADRUPOLE"               35.50140869                0.2        20.23486142         7.18285704       0.3403278615        48.51883034       -41.96878243                  0                  0         0.92450265
 "DEL2L2_A1_D04"     "DRIFT"                    35.55140869               0.05         19.5230736        7.052899552        0.333174129        52.80651759       -43.78496254                  0                  0                  0
 "SEL2L2_A1_SF01"    "SEXTUPOLE"                35.70140869               0.15         17.4656846        6.663027088       0.3117129314        66.75928741       -49.23350289                  0                  0                  0
 "DEL2L2_A1_D05"     "DRIFT"                    36.57403469           0.872626        7.816213765        4.394941427       0.1868622715        180.3437131       -80.93042269                  0                  0                  0
 "SEL2L2_A1_SD01"    "SEXTUPOLE"                36.72403469               0.15        6.556212207        4.005068963        0.165401074         205.440121       -86.37896304                  0                  0                  0
 "DEL2L2_A1_D06"     "DRIFT"                    36.77403469               0.05        6.162203185        3.875111475       0.1582473415        214.1688263       -88.19514315                  0                  0                  0
 "QEL2L2_A1_QD02"    "QUADRUPOLE"               36.97403469                0.2        5.120530613        1.464902082       0.1353363383        233.1855893       -4.460709639                  0                  0      -0.3810741396
 "DEL2L2_A1_D07"     "DRIFT"                    39.37572129          2.4016866        1.627848389     -0.01063980515     -0.07478402417        255.1289754       -4.675947123                  0                  0                  0
 "BEL2L2_A1_B02"     "RBEND"                    40.24161991       0.8658986141        2.102170656      -0.5399315429     -0.07478402418        255.4383369        4.324130324                  0       0.1745329252                  0
 "DEL2L2_A1_D08"     "DRIFT"                    42.64330651          2.4016866        8.239452538        -2.01547343       0.1353363382        235.1127316        4.138924491                  0                  0                  0
 "QEL2L2_A1_QD03"    "QUADRUPOLE"               42.84330651                0.2        9.756524007         -5.7616174       0.1582473414        216.0745709        88.62118461                  0                  0      -0.3810741396
 "DEL2L2_A1_D09"     "DRIFT"                    42.89330651               0.05        10.34144815       -5.936865444       0.1654010739        207.3033321        86.80359119                  0                  0                  0
 "SEL2L2_A1_SD02"    "SEXTUPOLE"                43.04330651               0.15         12.2013694       -6.462609577       0.1868622715        182.0801718        81.35081094                  0                  0                  0
 "DEL2L2_A1_D10"     "DRIFT"                    43.91593251           0.872626        26.14919577       -9.521129578       0.3117129313         67.7835866        49.62922544                  0                  0                  0
 "SEL2L2_A1_SF02"    "SEXTUPOLE"                44.06593251               0.15        29.08439626       -10.04687371       0.3331741288        53.71273601        44.17644519                  0                  0                  0
